,Country,Energy Supply (PJ),Energy Supply per Capita,% Renewable
0,Afghanistan,321.0,10.0,78.66928
1,Albania,102.0,35.0,100.0
2,Algeria,1959.0,51.0,0.55101
3,American Samoa,,,0.641026
4,Andorra,9.0,121.0,88.69565
5,Angola,642.0,27.0,70.90909
6,Anguilla,2.0,136.0,0.0
7,Antigua and Barbuda,8.0,84.0,0.0
8,Argentina,3378.0,79.0,24.06452
9,Armenia,143.0,48.0,28.23606
10,Aruba,12.0,120.0,14.87069
11,Australia,5386.0,231.0,11.81081
12,Austria,1391.0,164.0,72.45282
13,Azerbaijan,567.0,60.0,6.384345
14,Bahamas,45.0,118.0,0.0
15,Bahrain,574.0,425.0,0.0
16,Bangladesh,1625.0,10.0,1.966329
17,Barbados,19.0,69.0,0.0
18,Belarus,1142.0,120.0,0.463389
19,Belgium,2338.0,210.0,9.959739
20,Belize,13.0,39.0,64.69003
21,Benin,170.0,16.0,0.0
22,Bermuda,6.0,88.0,0.0
23,Bhutan,63.0,83.0,100.0
24,Bolivia,336.0,32.0,31.47712
25,"Bonaire, Sint Eustatius and Saba",5.0,213.0,0.0
26,Bosnia and Herzegovina,266.0,70.0,41.46467
27,Botswana,86.0,39.0,0.131406
28,Brazil,12149.0,59.0,69.64803
29,British Virgin Islands,2.0,85.0,0.0
30,Brunei Darussalam,127.0,310.0,0.045434
31,Bulgaria,703.0,97.0,17.23461
32,Burkina Faso,164.0,10.0,14.50068
33,Burundi,58.0,6.0,86.79245
34,Cabo Verde,7.0,15.0,21.22762
35,Cambodia,250.0,17.0,57.31159
36,Cameroon,307.0,14.0,70.88626
37,Canada,10431.0,296.0,61.94543
38,Cayman Islands,8.0,131.0,0.0
39,Central African Republic,23.0,5.0,85.63536
40,Chad,77.0,6.0,0.0
41,Chile,1613.0,92.0,28.00657
42,China,127191.0,93.0,19.75491
43,Hong Kong,585.0,82.0,0.0
44,Macao,47.0,83.0,0.0
45,Colombia,1513.0,32.0,63.00284
46,Comoros,5.0,7.0,11.62791
47,Congo,102.0,23.0,57.74887
48,Cook Islands,1.0,48.0,0.0
49,Costa Rica,222.0,47.0,88.73642
50,Côte d'Ivoire,547.0,25.0,22.82278
51,Croatia,321.0,75.0,64.28412
52,Cuba,585.0,51.0,0.663532
53,Curaçao,78.0,502.0,0.0
54,Cyprus,82.0,71.0,6.480186
55,Czech Republic,1751.0,166.0,7.067134
56,South Korea,612.0,25.0,70.18029
57,Democratic Republic of the Congo,888.0,12.0,99.5943
58,Denmark,725.0,129.0,33.53766
59,Djibouti,11.0,13.0,0.0
60,Dominica,2.0,28.0,36.63366
61,Dominican Republic,339.0,33.0,11.2506
62,Ecuador,680.0,43.0,47.71486
63,Egypt,3422.0,39.0,8.805713
64,El Salvador,176.0,29.0,56.44505
65,Equatorial Guinea,73.0,91.0,6.363636
66,Eritrea,34.0,7.0,0.550964
67,Estonia,258.0,195.0,4.180791
68,Ethiopia,1394.0,15.0,99.90825
69,Faeroe Islands,9.0,179.0,38.56655
70,Falkland Islands,1.0,258.0,33.33333
71,Fiji,31.0,36.0,62.00466
72,Finland,1374.0,252.0,19.53657
73,France,10597.0,166.0,17.02028
74,French Guiana,13.0,52.0,62.00466
75,French Polynesia,12.0,44.0,26.8556
76,Gabon,99.0,60.0,37.5
77,Gambia,14.0,7.0,0.0
78,Georgia,163.0,40.0,82.22487
79,Germany,13261.0,165.0,17.90153
80,Ghana,316.0,12.0,63.10263
